2019/12/16 - 15:48:25 -> ====================UMAFALL BEST THRESHOLD============================
2019/12/16 - 15:53:4 -> accuracy: 0.7005563915601881, discarted_register: 0.0, discarted_activity: 0.0, threshold: 0.05
2019/12/16 - 15:57:49 -> accuracy: 0.7082219311417304, discarted_register: 0.0, discarted_activity: 0.0, threshold: 0.1
2019/12/16 - 16:2:17 -> accuracy: 0.7038108814904949, discarted_register: 0.0018554813070294385, discarted_activity: 0.0, threshold: 0.15000000000000002
2019/12/16 - 16:6:47 -> accuracy: 0.7236400784962732, discarted_register: 0.0465344120503254, discarted_activity: 0.0, threshold: 0.2
2019/12/16 - 16:11:7 -> accuracy: 0.7803669046992336, discarted_register: 0.1552764345215917, discarted_activity: 0.0, threshold: 0.25
2019/12/16 - 16:15:25 -> accuracy: 0.8386684250215469, discarted_register: 0.26856405775361686, discarted_activity: 0.0, threshold: 0.3
2019/12/16 - 16:19:37 -> accuracy: 0.8792329326379607, discarted_register: 0.36266052821360284, discarted_activity: 0.0, threshold: 0.35000000000000003
2019/12/16 - 16:23:53 -> accuracy: 0.9187860379260786, discarted_register: 0.4433905304643745, discarted_activity: 0.0, threshold: 0.4
2019/12/16 - 16:28:11 -> accuracy: 0.9479617735526671, discarted_register: 0.5113153820500571, discarted_activity: 0.0, threshold: 0.45
2019/12/16 - 16:32:25 -> accuracy: 0.9625477954018293, discarted_register: 0.5707070624507183, discarted_activity: 0.0, threshold: 0.5
2019/12/16 - 16:36:37 -> accuracy: 0.9710681333139856, discarted_register: 0.6181201381864105, discarted_activity: 0.0, threshold: 0.55
2019/12/16 - 16:40:51 -> accuracy: 0.9830895520507628, discarted_register: 0.6696865821160226, discarted_activity: 0.13333333333333333, threshold: 0.6000000000000001
2019/12/16 - 16:45:10 -> accuracy: 0.9886203594256331, discarted_register: 0.7260599397451876, discarted_activity: 0.4, threshold: 0.6500000000000001
2019/12/16 - 16:49:28 -> accuracy: 0.9929408320164324, discarted_register: 0.7664377352326702, discarted_activity: 0.4, threshold: 0.7000000000000001
2019/12/16 - 16:53:44 -> accuracy: 0.9953099891452255, discarted_register: 0.8035653343532618, discarted_activity: 0.8666666666666667, threshold: 0.7500000000000001
2019/12/16 - 16:57:55 -> accuracy: 0.9978834597369194, discarted_register: 0.8431919069533472, discarted_activity: 1.2666666666666666, threshold: 0.8
2019/12/16 - 17:2:10 -> accuracy: 1.0, discarted_register: 0.8847303635322613, discarted_activity: 2.0, threshold: 0.8500000000000001
2019/12/16 - 17:6:23 -> accuracy: 1.0, discarted_register: 0.9271953914596832, discarted_activity: 3.2, threshold: 0.9000000000000001
2019/12/17 - 20:31:19 -> ====================UMAFALL BEST THRESHOLD============================
2019/12/17 - 20:31:47 -> accuracy: 0.8928775246929923, discarted_register: 0.0, discarted_activity: 0.0, threshold: 0.05
2019/12/17 - 20:32:15 -> accuracy: 0.8898929573117639, discarted_register: 0.0, discarted_activity: 0.0, threshold: 0.1
2019/12/17 - 20:32:42 -> accuracy: 0.8977836318150091, discarted_register: 0.0, discarted_activity: 0.0, threshold: 0.15000000000000002
2019/12/17 - 20:33:10 -> accuracy: 0.8825075946672859, discarted_register: 0.0011086474501108647, discarted_activity: 0.0, threshold: 0.2
2019/12/17 - 20:33:37 -> accuracy: 0.8825720632486393, discarted_register: 0.0016836292021869964, discarted_activity: 0.0, threshold: 0.25
2019/12/17 - 20:34:5 -> accuracy: 0.8905334007145471, discarted_register: 0.014302583935194117, discarted_activity: 0.0, threshold: 0.3
2019/12/17 - 20:34:32 -> accuracy: 0.9049410972790262, discarted_register: 0.03180681883073336, discarted_activity: 0.0, threshold: 0.35000000000000003
2019/12/17 - 20:34:59 -> accuracy: 0.9212691721814236, discarted_register: 0.06262859514561678, discarted_activity: 0.0, threshold: 0.4
2019/12/17 - 20:35:27 -> accuracy: 0.9331734666128547, discarted_register: 0.1051383367031874, discarted_activity: 0.0, threshold: 0.45
2019/12/17 - 20:35:54 -> accuracy: 0.947703189401309, discarted_register: 0.13019468399246598, discarted_activity: 0.0, threshold: 0.5
2019/12/17 - 20:36:22 -> accuracy: 0.961761557084738, discarted_register: 0.17214360999172348, discarted_activity: 0.0, threshold: 0.55
2019/12/17 - 20:36:49 -> accuracy: 0.9856379676749751, discarted_register: 0.2241832957348661, discarted_activity: 0.0, threshold: 0.6000000000000001
2019/12/17 - 20:37:16 -> accuracy: 0.9782701949202574, discarted_register: 0.24309284493896144, discarted_activity: 0.0, threshold: 0.6500000000000001
2019/12/17 - 20:37:44 -> accuracy: 0.9892342207782706, discarted_register: 0.2912364385844579, discarted_activity: 0.09090909090909091, threshold: 0.7000000000000001
2019/12/17 - 20:38:11 -> accuracy: 0.9921160165008183, discarted_register: 0.3169307606645938, discarted_activity: 0.09090909090909091, threshold: 0.7500000000000001
2019/12/17 - 20:38:38 -> accuracy: 0.9899325336073532, discarted_register: 0.328333484782628, discarted_activity: 0.2727272727272727, threshold: 0.8
2019/12/17 - 20:39:5 -> accuracy: 0.9952675796425796, discarted_register: 0.3919338518605374, discarted_activity: 0.36363636363636365, threshold: 0.8500000000000001
2019/12/17 - 20:39:33 -> accuracy: 0.9967522111062781, discarted_register: 0.468232491485482, discarted_activity: 0.6363636363636364, threshold: 0.9000000000000001
2019/12/17 - 20:40:0 -> accuracy: 1.0, discarted_register: 0.5702504203361479, discarted_activity: 1.1818181818181819, threshold: 0.9500000000000001
2019/12/17 - 20:40:0 -> ================================================
